ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
camel;camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java;MockEndpoint;1671;public;True;1;2;2;12;0;88;102;False;8
camel;camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockExpressionClauseSupport.java;MockExpressionClauseSupport;295;public;True;0;0;0;2;0;29;31;False;0
camel;camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockExpressionClause.java;MockExpressionClause;419;public;True;0;2;0;0;0;41;41;False;3
camel;camel/components/camel-soroush/src/test/java/org/apache/camel/component/soroushbot/support/SoroushMockServer.java;SoroushMockServer;44;public;True;1;0;0;0;0;3;3;False;1
camel;camel/components/camel-aws2-iam/src/test/java/org/apache/camel/component/aws2/iam/AmazonIAMClientMock.java;AmazonIAMClientMock;120;public;True;0;1;0;0;0;14;14;False;14
camel;camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockTransport.java;MyMockTransport;14;public;True;1;0;0;0;0;1;1;False;0
camel;camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockStore.java;MyMockStore;35;public;True;1;0;0;1;0;1;2;False;2
camel;camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockFolder.java;MyMockFolder;20;public;True;1;0;0;0;0;2;2;False;2
camel;camel/components/camel-telegram/src/test/java/org/apache/camel/component/telegram/util/TelegramMockRoutes.java;TelegramMockRoutes;90;public;True;1;0;0;0;0;4;4;False;1
camel;camel/components/camel-telegram/src/test/java/org/apache/camel/component/telegram/util/TelegramMockRoutes.java;MockProcessor;54;public;True;0;1;0;0;0;4;4;True;1
camel;camel/components/camel-stream/src/test/java/org/apache/camel/component/stream/mock/MockURLConnection.java;MockURLConnection;32;public;True;1;0;0;0;0;5;5;False;3
camel;camel/components/camel-aws2-cw/src/test/java/org/apache/camel/component/aws2/cw/CloudWatchClientMock.java;CloudWatchClientMock;18;public;True;0;1;0;0;0;3;3;False;3
camel;camel/components/camel-aws-kms/src/test/java/org/apache/camel/component/aws/kms/AmazonKMSClientMock.java;AmazonKMSClientMock;245;public;True;1;0;0;0;0;44;44;False;44
camel;camel/components/camel-aws2-eks/src/test/java/org/apache/camel/component/aws2/eks/AmazonEKSClientMock.java;AmazonEKSClientMock;50;public;True;0;1;0;0;0;6;6;False;6
camel;camel/components/camel-aws-swf/src/test/java/org/apache/camel/component/aws/swf/AmazonSWFClientMock.java;AmazonSWFClientMock;7;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-hdfs/src/test/java/org/apache/camel/component/hdfs/MockDataInputStream.java;MockDataInputStream;95;public;True;1;2;0;0;0;10;10;False;10
camel;camel/components/camel-aws-translate/src/test/java/org/apache/camel/component/aws/translate/AmazonAWSTranslateMock.java;AmazonAWSTranslateMock;9;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ProvokeExceptionExecCommandExecutor.java;DefaultExecutorMock;8;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ExecCommandExecutorMock.java;ExecCommandExecutorMock;13;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockMessageConsumer.java;MockMessageConsumer;19;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnection.java;MockConnection;32;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockSession.java;MockSession;34;public;True;1;0;0;0;0;2;2;False;2
camel;camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnectionFactory.java;MockConnectionFactory;29;public;True;1;0;1;1;0;2;4;False;2
camel;camel/components/camel-jmx/src/test/java/org/apache/camel/component/jmx/MockEndpointFixture.java;MockEndpointFixture;89;public;True;0;0;0;11;0;0;11;False;0
camel;camel/components/camel-aws2-ecs/src/test/java/org/apache/camel/component/aws2/ecs/AmazonECSClientMock.java;AmazonECSClientMock;50;public;True;0;1;0;0;0;6;6;False;6
