project,file,class,changes,distinct_authors
camel,camel/components/camel-aws-swf/src/test/java/org/apache/camel/component/aws/swf/AmazonSWFClientMock.java,amazonswfclientmock,1,1
camel,camel/components/camel-hdfs/src/test/java/org/apache/camel/component/hdfs/MockDataInputStream.java,mockdatainputstream,1,1
camel,camel/components/camel-aws-translate/src/test/java/org/apache/camel/component/aws/translate/AmazonAWSTranslateMock.java,amazonawstranslatemock,1,1
camel,camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ProvokeExceptionExecCommandExecutor.java,defaultexecutormock,1,1
camel,camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ExecCommandExecutorMock.java,execcommandexecutormock,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockMessageConsumer.java,mockmessageconsumer,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnection.java,mockconnection,2,2
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockSession.java,mocksession,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnectionFactory.java,mockconnectionfactory,2,2
camel,camel/components/camel-jmx/src/test/java/org/apache/camel/component/jmx/MockEndpointFixture.java,mockendpointfixture,2,2
camel,camel/components/camel-aws2-ecs/src/test/java/org/apache/camel/component/aws2/ecs/AmazonECSClientMock.java,amazonecsclientmock,1,1
camel,camel/components/camel-aws-ec2/src/test/java/org/apache/camel/component/aws/ec2/AmazonEC2ClientMock.java,amazonec2clientmock,2,2
camel,camel/components/camel-aws2-sqs/src/test/java/org/apache/camel/component/aws2/sqs/AmazonSQSClientMock.java,amazonsqsclientmock,1,1
camel,camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java,mocksecurityprovider,1,1
camel,camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java,mocksecurityconfiguration,1,1
camel,camel/components/camel-aws-mq/src/test/java/org/apache/camel/component/aws/mq/AmazonMQClientMock.java,amazonmqclientmock,1,1
camel,camel/components/camel-aws2-ddb/src/test/java/org/apache/camel/component/aws2/ddb/AmazonDDBClientMock.java,amazonddbclientmock,2,2
camel,camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/MockMessage.java,mockmessage,1,1
camel,camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/AmazonSESClientMock.java,amazonsesclientmock,1,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestStateProducerTest.java,mockpullrequeststateproducerprocessor,2,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestFilesProducerTest.java,mockpullfilesproducerprocessor,2,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/CreateIssueProducerTest.java,mockissuecreateproducerprocessor,2,2
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestCommentProducerTest.java,mockpullrequestcommentproducerprocessor,2,2
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/consumer/PullRequestConsumerTest.java,mockpullrequestprocessor,1,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockRepositoryService.java,mockrepositoryservice,3,3
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockPullRequestService.java,mockpullrequestservice,6,6
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockIssueService.java,mockissueservice,5,4
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockCommitService.java,mockcommitservice,5,5
camel,camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java,mockconnectionsettings,5,4
camel,camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java,mockconnectionfactory,3,2
camel,camel/components/camel-aws-sdb/src/test/java/org/apache/camel/component/aws/sdb/AmazonSDBClientMock.java,amazonsdbclientmock,1,1
camel,camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/MockQueue.java,mockqueue,3,2
camel,camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/IronMQClientMock.java,ironmqclientmock,2,2
camel,camel/components/camel-aws-msk/src/test/java/org/apache/camel/component/aws/msk/AmazonMSKClientMock.java,amazonmskclientmock,5,2
camel,camel/components/camel-aws2-sns/src/test/java/org/apache/camel/component/aws2/sns/AmazonSNSClientMock.java,amazonsnsclientmock,2,1
camel,camel/components/camel-spring/src/test/java/org/apache/camel/component/log/SpringLogMaskTest.java,mockmaskingformatter,1,1
camel,camel/components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringLogEipMaskTest.java,mockmaskingformatter,2,2
camel,camel/components/camel-spring/src/test/java/org/apache/camel/spring/issues/Camel14624Test.java,mocktransactionmanager,1,1
camel,camel/components/camel-wordpress/src/test/java/org/apache/camel/component/wordpress/api/test/WordpressMockServerTestSupport.java,wordpressmockservertestsupport,2,2
camel,camel/components/camel-kafka/src/test/java/org/apache/camel/component/kafka/MockConsumerInterceptor.java,mockconsumerinterceptor,2,2
camel,camel/components/camel-kafka/src/test/java/org/apache/camel/component/kafka/MockProducerInterceptor.java,mockproducerinterceptor,2,2
camel,camel/components/camel-jt400/src/test/java/org/apache/camel/component/jt400/MockAS400SecureConnectionPool.java,mockas400secureconnectionpool,2,2
camel,camel/components/camel-jt400/src/test/java/org/apache/camel/component/jt400/MockAS400ConnectionPool.java,mockas400connectionpool,2,2
camel,camel/components/camel-aws2-translate/src/test/java/org/apache/camel/component/aws2/translate/AmazonAWSTranslateMock.java,amazonawstranslatemock,1,1
camel,camel/components/camel-aws2-kms/src/test/java/org/apache/camel/component/aws2/kms/AmazonKMSClientMock.java,amazonkmsclientmock,1,1
camel,camel/components/camel-milo/src/test/java/org/apache/camel/component/milo/call/MockCamelNamespace.java,mockcamelnamespace,1,1
camel,camel/components/camel-milo/src/test/java/org/apache/camel/component/milo/call/MockCallMethod.java,mockcallmethod,1,1
camel,camel/components/camel-aws-iam/src/test/java/org/apache/camel/component/aws/iam/AmazonIAMClientMock.java,amazoniamclientmock,2,2
camel,camel/components/camel-aws-eks/src/test/java/org/apache/camel/component/aws/eks/AmazonEKSClientMock.java,amazoneksclientmock,2,1
dubbo,dubbo/dubbo-compatible/src/test/java/org/apache/dubbo/service/MockInvocation.java,mockinvocation,10,5
dubbo,dubbo/dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/support/FailbackRegistryTest.java,mockregistry,2,2
dubbo,dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/RegistryProtocolTest.java,mockinvoker,1,1
dubbo,dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/RegistryProtocolTest.java,mockregistry,1,1
dubbo,dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/MockedClient.java,mockedclient,6,1
dubbo,dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/MockChannel.java,mockchannel,6,1
dubbo,dubbo/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/MockInvocation.java,mockinvocation,10,5
dubbo,dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockProtocol.java,mockprotocol,3,2
dubbo,dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockInvoker.java,mockinvoker,11,5
dubbo,dubbo/dubbo-rpc/dubbo-rpc-thrift/src/test/java/org/apache/dubbo/rpc/protocol/thrift/MockedChannel.java,mockedchannel,1,1
dubbo,dubbo/dubbo-common/src/test/java/org/apache/dubbo/common/config/MockOrderedPropertiesProvider1.java,mockorderedpropertiesprovider1,1,1
dubbo,dubbo/dubbo-common/src/test/java/org/apache/dubbo/common/config/MockOrderedPropertiesProvider2.java,mockorderedpropertiesprovider2,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/HeaderExchangeHandlerTest.java,mockedexchangehandler,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/MockedChannelHandler.java,mockedchannelhandler,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/handler/MockedChannel.java,mockedchannel,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/support/header/MockChannel.java,mockchannel,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/AbstractMockChannel.java,abstractmockchannel,1,1
dubbo,dubbo/dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/MockResult.java,mockresult,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/directory/MockDirInvocation.java,mockdirinvocation,10,5
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MyMockException.java,mymockexception,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockProviderRpcExceptionTest.java,mockproviderrpcexceptiontest,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockProviderRpcExceptionTest.java,ihellorpcservicemock,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterInvokerTest.java,mockclusterinvokertest,10,5
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterInvokerTest.java,ihelloservicemock,2,2
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/filter/MockService.java,mockservice,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/filter/DemoServiceMock.java,demoservicemock,1,1
dubbo,dubbo/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/router/MockInvoker.java,mockinvoker,1,1
dubbo,dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterInvoker.java,mockclusterinvoker,15,9
dubbo,dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/wrapper/MockClusterWrapper.java,mockclusterwrapper,2,1
dubbo,dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/mock/MockRouterFactory.java,mockrouterfactory,2,2
dubbo,dubbo/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/mock/MockInvokersSelector.java,mockinvokersselector,12,5
dubbo,dubbo/dubbo-monitor/dubbo-monitor-default/src/test/java/org/apache/dubbo/monitor/dubbo/MockMonitorService.java,mockmonitorservice,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockExchanger.java,mockexchanger,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/GreetingMock1.java,greetingmock1,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockProtocol2.java,mockprotocol2,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockTelnetHandler.java,mocktelnethandler,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistry.java,mockregistry,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockLoadBalance.java,mockloadbalance,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockThreadPool.java,mockthreadpool,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockInvokerListener.java,mockinvokerlistener,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockCluster.java,mockcluster,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockCodec.java,mockcodec,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockProxyFactory.java,mockproxyfactory,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistryFactory.java,mockregistryfactory,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockDispatcher.java,mockdispatcher,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockExporterListener.java,mockexporterlistener,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/GreetingMock2.java,greetingmock2,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockFilter.java,mockfilter,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockStatusChecker.java,mockstatuschecker,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/mock/MockRegistryFactory2.java,mockregistryfactory2,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/utils/XxxMockReferenceConfig.java,xxxmockreferenceconfig,1,1
dubbo,dubbo/dubbo-config/dubbo-config-api/src/test/java/org/apache/dubbo/config/utils/MockReferenceConfig.java,mockreferenceconfig,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/cluster/ESAllocationTestCase.java,mockallocationservice,4,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/cluster/ESAllocationTestCase.java,delayedshardsmockgatewayallocator,11,6
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/cluster/MockInternalClusterInfoService.java,mockinternalclusterinfoservice,15,10
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/cluster/coordination/MockSinglePrioritizingExecutor.java,mocksingleprioritizingexecutor,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransportPlugin.java,mockniotransportplugin,2,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransport.java,mockniotransport,38,4
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransport.java,mocktcpchannelfactory,17,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransport.java,mocktcpreadwritehandler,2,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransport.java,mockserverchannel,7,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/transport/nio/MockNioTransport.java,mocksocketchannel,9,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/MockHttpTransport.java,mockhttptransport,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/MockIndexEventListener.java,mockindexeventlistener,11,8
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/MockKeywordPlugin.java,mockkeywordplugin,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/MockLogAppender.java,mocklogappender,6,5
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/tasks/MockTaskManager.java,mocktaskmanager,13,8
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/transport/MockTransport.java,mocktransport,14,6
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/transport/MockTransportService.java,mocktransportservice,80,17
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/engine/MockInternalEngine.java,mockinternalengine,6,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/engine/MockEngineFactory.java,mockenginefactory,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/engine/MockEngineSupport.java,mockenginesupport,21,10
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/engine/MockEngineSupport.java,mockcontext,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/disruption/DisruptableMockTransport.java,disruptablemocktransport,11,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/store/MockFSDirectoryFactory.java,mockfsdirectoryfactory,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/store/MockFSDirectoryFactory.java,elasticsearchmockdirectorywrapper,3,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/test/store/MockFSIndexStore.java,mockfsindexstore,21,13
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/snapshots/mockstore/MockRepository.java,mockrepository,3,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/snapshots/mockstore/MockRepository.java,mockblobstore,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/ingest/TestTemplateService.java,mocktemplatescript,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/repositories/blobstore/ESMockAPIBasedRepositoryIntegTestCase.java,esmockapibasedrepositoryintegtestcase,11,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/cli/MockTerminal.java,mockterminal,6,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockDeterministicScript.java,mockdeterministicscript,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptService.java,mockscriptservice,1,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptPlugin.java,mockscriptplugin,4,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockscriptengine,57,18
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockcompiledscript,16,9
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockfilterscript,2,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mocksimilarityscript,3,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mocksimilarityweightscript,3,3
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricagginitscriptfactory,2,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricagginitscript,3,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricaggmapscriptfactory,2,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricaggmapscript,3,2
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricaggcombinescriptfactory,2,1
elasticsearch,elasticsearch/test/framework/src/main/java/org/elasticsearch/script/MockScriptEngine.java,mockmetricaggcombinescript,4,2
